,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
10,10,hHBB_10383653_GC_rich_2_hHBB,PSU,3,1,11,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01356268 -0.02959267 -0.02357926 ...  0.2100525   0.2100525
  0.2100525 ]","[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 261 334 391],[ 5.98705843  7.73074581 12.47776816 11.31097785],[110 261 391],[ 5.98705843  7.73074581 11.31097785],[ 23.34814491 276.82487886 864.32051015],[ 94.9533851  79.034771  138.939144 ],[ 9.0242406 29.046648  49.637028 ],[85.9291445 49.988123  89.302116 ],604.9242843899999,1.7864666772945237,0.25102280564046586
11,11,hHBB_10383653_GC_rich_2_hHBB,PSU,5,1,12,nts-Eukaryote Total RNA Nano_2020-12-02_14-31-30_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1720777 -0.1682678 -0.1333253 ...  0.1940956  0.1940956  0.1940956],"[  -60.95978156   -60.12814982   -59.30094682 ... 19318.80827183
 19378.14304902 19437.60650104]",[110 261 334 392],[ 5.98652053  9.5351157  11.81866973 10.92870361],[110 261 392],[ 5.98652053  9.5351157  10.92870361],[ 23.34814491 276.82487886 870.83230289],[91.9084824 73.029507  90.597413 ],[ 8.5145826 34.43719   43.837816 ],[83.3938998 38.592317  46.759597 ],569.2187856420002,1.2116296878469361,0.17025040965288432
12,12,hHBB_10383651_GC_rich_1_hHBB,PSU,0,2,1,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.01877506 0.01343399 0.00210034 ... 0.1666451  0.1666451  0.1666451 ],"[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 389],[ 5.62670002  8.1557112  11.13651177],[110 263 389],[ 5.62670002  8.1557112  11.13651177],[ 23.18332976 278.33960865 833.86939309],[ 54.8210632  59.956299  391.897558 ],[ 3.2423316 11.9233899 59.833452 ],[ 51.5787316  48.0329091 332.064106 ],606.4881300100002,6.91326243240179,1.0
13,13,hHBB_10383651_GC_rich_1_hHBB,PSU,1,2,2,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02346641  0.00483019  0.00746578 ...  0.0258522   0.0258522
  0.0258522 ]","[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 390],[ 5.59891058  8.13557057 11.87770349],[110 263 390],[ 5.59891058  8.13557057 11.87770349],[ 23.18332976 278.33960865 840.22851658],[ 54.63708079  63.5473877  204.519647  ],[ 3.92710194 17.9455527  52.723824  ],[ 50.70997885  45.601835   151.795823  ],495.0445623604999,3.3287218156900926,0.48149796832371017
14,14,hHBB_10383651_GC_rich_1_hHBB,PSU,3,2,3,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01873252 -0.02211258 -0.0174128  ...  0.2240067   0.2240067
  0.2240067 ]","[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 359 390],[ 5.60507996  8.56462488 10.49410007 14.27105679],[110 263 390],[ 5.60507996  8.56462488 14.27105679],[ 23.18332976 278.33960865 840.22851658],[ 52.39170824  96.71424    183.818651  ],[ 3.90962964 36.641844   66.649605  ],[ 48.4820786  60.072396  117.169046 ],705.9152253740003,1.9504640034667509,0.2821336557867549
15,15,hHBB_10383651_GC_rich_1_hHBB,PSU,5,2,4,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00131692  0.00223829  0.00431748 ... -0.0449791  -0.0449791
 -0.0449791 ]","[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 359 391],[ 5.59042758  9.96033936 10.1030595  13.21763765],[110 263 391],[ 5.59042758  9.96033936 13.21763765],[ 23.18332976 278.33960865 846.62285811],[52.8093486 69.715331  89.8677554],[ 3.0508044 27.57132   38.3971644],[49.7585442 42.144011  51.470591 ],482.1901047630002,1.2213026187754175,0.1766608212428463
16,16,hHBB_10388774_Twist_1_hHBB,PSU,0,2,5,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01818405 -0.00770002  0.02228897 ...  0.2086143   0.2086143
  0.2086143 ]","[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 389],[5.53303806 8.34353327 6.88484487],[110 263 389],[5.53303806 8.34353327 6.88484487],[ 23.18332976 278.33960865 833.86939309],[ 52.9393983  59.7723011 229.5773396],[ 3.72849   15.9101451 62.6303832],[ 49.2109083  43.862156  166.9469564],480.86020872999995,3.806173057247802,1.0
17,17,hHBB_10388774_Twist_1_hHBB,PSU,1,2,6,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.01761288  0.00442483 -0.02033539 ... -0.0304985  -0.0304985
 -0.0304985 ]","[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 389],[5.6135801  8.35379993 7.72989726],[110 263 389],[5.6135801  8.35379993 7.72989726],[ 23.18332976 278.33960865 833.86939309],[ 51.9576785  65.336483  145.436342 ],[ 3.4773864 17.2527534 48.068752 ],[48.4802921 48.0837296 97.36759  ],428.12917030999995,2.0249591870261243,0.5320197365093925
18,18,hHBB_10388774_Twist_1_hHBB,PSU,3,2,7,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.02260087 0.01697603 0.0071462  ... 0.1277542  0.1277542  0.1277542 ],"[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 262 390],[5.57219914 8.73567918 9.24703603],[110 262 390],[5.57219914 8.73567918 9.24703603],[ 23.18332976 275.57859884 840.22851658],[46.6965023 81.759901  99.662758 ],[ 2.7515868 29.671551  39.67123  ],[43.9449155 52.08835   59.991528 ],486.03933655,1.151726403312833,0.30259433451657936
19,19,hHBB_10388774_Twist_1_hHBB,PSU,5,2,8,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.08329017 -0.09015022 -0.09849028 ...  0.02469635  0.02469635
  0.02469635]","[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 392],[5.48937752 9.42016872 8.37028301],[110 263 392],[5.48937752 9.42016872 8.37028301],[ 23.18332976 278.33960865 853.05251738],[44.8282077 61.3200239 42.870876 ],[ 1.8235578 23.557153  22.662351 ],[43.0046499 37.7628709 20.208525 ],332.5745236399001,0.5351427081249798,0.14059862756527813
20,20,hHBB_10388767_Genewiz_1_hHBB,PSU,0,2,9,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.06910413 -0.07607027 -0.09483663 ...  0.01712799  0.01712799
  0.01712799]","[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 390],[5.55064162 8.21935728 6.8392461 ],[110 263 390],[5.55064162 8.21935728 6.8392461 ],[ 23.18332976 278.33960865 840.22851658],[ 41.79218434  52.5754196  315.019998  ],[ 0.33883207  8.9455995  79.236899  ],[ 41.45335228  43.6298201  235.783099  ],476.73298670490004,5.404173073819298,1.0
21,21,hHBB_10388767_Genewiz_1_hHBB,PSU,1,2,10,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.0106441   0.01443515  0.02353555 ... -0.01659775 -0.01659775
 -0.01659775]","[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 262 390],[5.45570584 8.40683794 7.59749333],[110 262 390],[5.45570584 8.40683794 7.59749333],[ 23.18332976 275.57859884 840.22851658],[ 43.6420383  69.537124  205.222514 ],[ 2.5905204 22.118319  72.251256 ],[ 41.0515179  47.418805  132.971258 ],539.7895560000002,2.804188296183339,0.518893132747418
22,22,hHBB_10388767_Genewiz_1_hHBB,PSU,3,2,11,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0664759  0.05256347 0.03377714 ... 0.2426682  0.2426682  0.2426682 ],"[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 392],[5.45206479 8.36552966 8.45166516],[110 263 392],[5.45206479 8.36552966 8.45166516],[ 23.18332976 278.33960865 853.05251738],[ 40.5886686  70.9746993 123.905522 ],[ 2.0364996 26.1313497 51.557877 ],[38.552169  44.8433496 72.347645 ],502.67335153300024,1.61334168043504,0.2985362715807399
23,23,hHBB_10388767_Genewiz_1_hHBB,PSU,5,2,12,nts-Eukaryote Total RNA Nano_2020-12-02_14-38-16_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00278103  0.00118429  0.02168263 ... -0.0196228  -0.0196228
 -0.0196228 ]","[ -131.79709451  -129.76173906  -127.74385776 ... 16352.63646384
 16395.67344807 16438.77143791]",[110 263 394],[5.54512234 9.79147136 8.22844922],[110 263 394],[5.54512234 9.79147136 8.22844922],[ 23.18332976 278.33960865 866.01818715],[41.1769172 59.9772316 59.641662 ],[ 3.6105606 22.832359  30.047958 ],[37.5663566 37.1448726 29.593704 ],373.72706091000003,0.796710337889273,0.14742502266423768
24,24,hHBB_10388753_IDT_1_hHBB,PSU,0,3,1,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 4.151662e-03 -5.891676e-03 -8.026913e-03 ... -7.629395e-06 -7.629395e-06
 -7.629395e-06]","[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 262 393],[6.32122063 7.87875126 8.74408869],[110 262 393],[6.32122063 7.87875126 8.74408869],[ 23.49855564 277.47207928 880.8383966 ],[110.700862   39.6226324 234.9891973],[ 6.3519974 11.6732592 74.4607719],[104.3488646  27.9493732 160.5284254],483.8893404469997,5.743542950007907,1.0
25,25,hHBB_10388753_IDT_1_hHBB,PSU,1,3,2,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01390714 -0.01307073 -0.01013293 ...  0.03199005  0.03199005
  0.03199005]","[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 262 393],[6.27169152 7.64108823 9.56997242],[110 262 393],[6.27169152 7.64108823 9.56997242],[ 23.49855564 277.47207928 880.8383966 ],[112.72271361  40.3131597  182.020575  ],[ 6.65941997 14.8387     68.78103   ],[106.06329364  25.4744597  113.239545  ],488.7720365599998,4.44521871449152,0.7739506352059926
26,26,hHBB_10388753_IDT_1_hHBB,PSU,3,3,3,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0087367  0.01312341 0.01242936 ... 0.00611877 0.00611877 0.00611877],"[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 262 396],[ 6.27439434  7.84049083 12.07415823],[110 262 396],[ 6.27439434  7.84049083 12.07415823],[ 23.49855564 277.47207928 901.00896917],[110.39947262  65.282581   117.130165  ],[ 7.13029534 26.566088   54.105363  ],[103.26917728  38.716493    63.024802  ],527.2182820500001,1.6278541034178893,0.2834233360117292
27,27,hHBB_10388753_IDT_1_hHBB,PSU,5,3,4,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.05917313 0.05224925 0.03315245 ... 0.1115875  0.1115875  0.1115875 ],"[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 262 398],[ 6.26738481  9.3815141  11.18906587],[110 262 398],[ 6.26738481  9.3815141  11.18906587],[ 23.49855564 277.47207928 914.63751226],[112.26719532  70.129917    68.604956  ],[ 6.95802814 27.20071    39.007488  ],[105.30916718  42.929207    29.597468  ],483.43603248999983,0.6894482816791841,0.1200388484390519
28,28,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0,3,5,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05496472 -0.02728878 -0.00043104 ...  0.02127838  0.02127838
  0.02127838]","[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 262 386 497],[ 6.3575739   8.00811365  7.57202052 13.17424733],[110 262 386],[6.3575739  8.00811365 7.57202052],[ 23.49855564 277.47207928 835.03033205],[111.94155793  47.2071919  295.548026  ],[ 6.82956628 16.2674505  81.788424  ],[105.11199164  30.9397414  213.759602  ],606.7531709799999,6.908900731794738,1.0
29,29,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,1,3,6,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05253771 -0.07148352 -0.0839341  ...  0.07479477  0.07479477
  0.07479477]","[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 262 387],[6.35728903 7.5290306  8.60216601],[110 262 387],[6.35728903 7.5290306  8.60216601],[ 23.49855564 277.47207928 841.46752678],[110.80503602  49.5212991  187.833744  ],[ 6.88990414 17.6758312  63.510201  ],[103.91513188  31.8454679  124.323543  ],555.4619177027998,3.903963458486348,0.5650628964055485
30,30,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,3,3,7,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03599346 -0.04143477 -0.03772271 ...  0.2470131   0.2470131
  0.2470131 ]","[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 261 388],[ 6.31760344  7.34950236 10.10447352],[110 261 388],[ 6.31760344  7.34950236 10.10447352],[ 23.49855564 274.63011308 847.94016021],[103.62646019  60.88083    110.888555  ],[ 5.08097584 25.017096   43.431718  ],[98.54548435 35.863734   67.456837  ],530.66131266,1.880920625833328,0.2722460053851024
31,31,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,5,3,8,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.07959458 0.08028309 0.07123903 ... 0.1355667  0.1355667  0.1355667 ],"[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 261 389],[ 6.30587622 10.20326159  8.72840861],[110 261 389],[ 6.30587622 10.20326159  8.72840861],[ 23.49855564 274.63011308 854.44833216],[105.94135575  80.760355    69.461679  ],[ 6.97114634 42.599986   38.318265  ],[98.97020941 38.160369   31.143414  ],587.1329062499999,0.8161193095381236,0.1181257831339717
32,32,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0,3,9,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.06664361 -0.05956081 -0.06026706 ...  0.1021576   0.1021576
  0.1021576 ]","[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 261 388 499],[6.33607502 7.84513693 5.73958593 9.67580594],[110 261 388],[6.33607502 7.84513693 5.73958593],[ 23.49855564 274.63011308 847.94016021],[104.38884883  41.3871898  246.7908277 ],[ 6.03116871 12.521788   61.2561582 ],[ 98.35768012  28.8654018  185.5346695 ],511.57042539099973,6.427579660436255,1.0
33,33,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,1,3,10,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00968253 -0.03544508 -0.06587098 ... -0.04431534 -0.04431534
 -0.04431534]","[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 262 388],[6.41451621 7.91356918 6.73326613],[110 262 388],[6.41451621 7.91356918 6.73326613],[ 23.49855564 277.47207928 847.94016021],[101.07030384  33.6329057  180.021002  ],[ 5.99653418  9.9279232  55.764702  ],[ 95.07376966  23.7049825  124.2563    ],429.12936720000016,5.241779866321353,0.8155137926311723
34,34,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,3,3,11,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.06210092  0.02391352 -0.00858236 ...  0.193203    0.193203
  0.193203  ]","[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 262 388],[6.355315   7.87193718 7.98544143],[110 262 388],[6.355315   7.87193718 7.98544143],[ 23.49855564 277.47207928 847.94016021],[ 97.86868738  53.4296551  191.360069  ],[ 7.96332726 18.4852968  69.732352  ],[ 89.90536012  34.9443583  121.627717  ],539.2832974320002,3.480610974619044,0.5415119156038288
35,35,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,5,3,12,nts-Eukaryote Total RNA Nano_2020-12-02_15-29-46_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.00411    -0.0082652  -0.02850627 ...  0.1350479   0.1350479
  0.1350479 ]","[ -103.73866257  -102.11959774  -100.51449168 ... 16906.56423698
 16951.92756758 16997.36061854]",[110 261 389],[6.36422154 7.63766369 8.99858992],[110 261 389],[6.36422154 7.63766369 8.99858992],[ 23.49855564 274.63011308 854.44833216],[ 94.16917457  43.7707538  115.893015  ],[ 3.19474869 16.6898872  43.934778  ],[90.97442588 27.0808666  71.958237  ],403.2276190989999,2.657161532637216,0.41340001571553736
36,36,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0,4,1,nts-Eukaryote Total RNA Nano_2020-12-02_15-24-46_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00825674 -0.00769392 -0.01757713 ... -0.04735947 -0.04735947
 -0.04735947]","[ -115.72963654  -113.9176607   -112.12149547 ... 16714.29275817
 16758.59512547 16802.96236465]",[110 262 390],[6.32639501 8.34017575 9.85186651],[110 262 390],[6.32639501 8.34017575 9.85186651],[ 23.52685031 276.19031164 854.21947993],[ 88.66772106  40.3373     185.311677  ],[ 4.46436242 10.2414672  55.335234  ],[ 84.20335864  30.0958328  129.976443  ],388.1146694615001,4.31875216292403,1.0
37,37,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,1,4,2,nts-Eukaryote Total RNA Nano_2020-12-02_15-24-46_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00693708 -0.01756612 -0.02342679 ...  0.08093643  0.08093643
  0.08093643]","[ -115.72963654  -113.9176607   -112.12149547 ... 16714.29275817
 16758.59512547 16802.96236465]",[110 263 392],[ 6.2844624   8.38694886 11.1994711 ],[110 263 392],[ 6.2844624   8.38694886 11.1994711 ],[ 23.52685031 279.01537094 867.33054553],[ 86.68066168  46.0201885  154.2421945 ],[ 5.45755896 12.6503145  43.5442272 ],[ 81.22310272  33.369874   110.6979673 ],366.6450454287999,3.317302525625359,0.768115974355742
