,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
10,10,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.0,2,2,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.01783875 -0.01177699 -0.02881628 ...  0.08840179  0.08840179
  0.08840179]","[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 394],[6.47177995 7.20264263],[110 394],[6.47177995 7.20264263],[ 25.         844.32245225],[129.27515022 251.9776393 ],[11.09612504 58.9261488 ],[118.17902518 193.0514905 ],447.1755782420001,0.4317129554770217,1.0
11,11,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,0.5,2,3,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04864907 -0.05074177 -0.05902145 ...  0.1242523   0.1242523
  0.1242523 ]","[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 392],[6.49019758 7.50002902],[110 392],[6.49019758 7.50002902],[ 25.         832.00423403],[136.88658335 269.210861  ],[ 8.10593665 79.455896  ],[128.7806467 189.754965 ],545.7989697419998,0.34766457160902586,0.8053141959218563
12,12,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.0,2,4,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.0142477  -0.03087246 -0.05142898 ...  0.04119873  0.04119873
  0.04119873]","[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 394],[6.45087872 7.67609788],[110 394],[6.45087872 7.67609788],[ 25.         844.32245225],[137.40502723 188.977572  ],[12.93083141 61.685656  ],[124.47419582 127.291916  ],473.34054023299984,0.26892248852663486,0.6229196625092909
13,13,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,1.5,2,5,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04522844 -0.05811139 -0.05803428 ...  0.1596107   0.1596107
  0.1596107 ]","[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 291 339 393],[ 6.48933232 13.38123287  6.99395734  8.04290399],[110 393],[6.48933232 8.04290399],[ 25.         838.13938631],[139.95192713 209.768623  ],[10.02864401 68.147352  ],[129.92328312 141.621271  ],528.0664115730002,0.26818837156890857,0.6212191878109693
14,14,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,2.0,2,6,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.06702551 -0.08277176 -0.07640293 ...  0.1232681   0.1232681
  0.1232681 ]","[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 288 338 393],[ 6.55016937 13.90902687  6.71372696  8.26048367],[110 393],[6.55016937 8.26048367],[ 25.         838.13938631],[147.64546302 176.615933  ],[11.06331324 61.895088  ],[136.58214978 114.720845  ],531.0556233649999,0.21602416009283307,0.5003884116800177
15,15,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,3.0,2,7,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.05369951 0.04526141 0.02664361 ... 0.1737709  0.1737709  0.1737709 ],"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 289 337 392],[ 6.44677259 14.42218094  7.13293187  8.8954971 ],[110 392],[6.44677259 8.8954971 ],[ 25.         832.00423403],[138.63569486 166.587877  ],[10.97989942 66.996162  ],[127.65579544  99.591715  ],625.2569501790001,0.1592812602426709,0.368951772750653
16,16,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,4.0,2,8,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04809255 -0.03580452 -0.03159612 ...  0.09120941  0.09120941
  0.09120941]","[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 289 337 393],[ 6.512574   13.5769433   6.80395436  9.95390507],[110 393],[6.512574   9.95390507],[ 25.         838.13938631],[140.14774279  91.324553  ],[ 8.12017283 38.66601   ],[132.02756996  52.658543  ],418.5748541282002,0.12580436325941322,0.2914074309407869
17,17,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5.0,2,9,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.01490457 -0.01851416 -0.03791047 ...  0.3525848   0.3525848
  0.3525848 ]","[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 288 335 391],[ 6.54981802 12.99832088  7.27961034 11.02279375],[110 391],[ 6.54981802 11.02279375],[ 25.        825.9168766],[145.70800825 141.740291  ],[10.23360835 54.99318   ],[135.4743999  86.747111 ],630.73924662,0.13753244540411855,0.31857382007948293
18,18,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,18.0,2,10,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03119764 -0.02146612 -0.01684161 ...  0.1114845   0.1114845
  0.1114845 ]","[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 214 288 335],[ 6.597259   11.50749076 28.54630122  9.51491522],[110 391],[ 6.54981802 11.02279375],[ 25.        825.9168766],[143.4047056  25.1232532],[15.01360353 20.2432344 ],[128.39110207   4.8800188 ],591.0621811000008,0.008256354333004371,0.01912463878662502
19,19,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,24.0,2,11,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1112913 -0.140372  -0.1486015 ...  0.1564445  0.1564445  0.1564445],"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[110 212 282 334],[ 6.64485864 11.7166878  29.84182623 10.36600223],[110 391],[ 6.54981802 11.02279375],[ 25.        825.9168766],[145.60291935  13.4657008 ],[ 7.85247151 11.4360624 ],[137.75044783   2.0296384 ],609.6051646420003,0.0033294311100397827,0.007712140828298572
20,20,hHBB_10383653_GC_rich_2_hHBB,PSU,0.0,3,2,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0178762  0.02263015 0.01978012 ... 0.1875801  0.1875801  0.1875801 ],"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 392],[6.51887669 9.3262388 ],[110 392],[6.51887669 9.3262388 ],[ 25.         843.22618787],[106.149669 448.86024 ],[  8.2005392 110.7585   ],[ 97.9491298 338.10174  ],690.0804350799998,0.4899454075390565,1.0
21,21,hHBB_10383653_GC_rich_2_hHBB,PSU,0.5,3,3,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01364136 -0.01658787 -0.0118412  ...  0.07415009  0.07415009
  0.07415009]","[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 394],[ 6.48573699 10.03550534],[110 394],[ 6.48573699 10.03550534],[ 25.         855.84393781],[101.59868577 278.48364   ],[ 5.93374509 72.205859  ],[ 95.66494068 206.277781  ],505.6306733387999,0.4079613676082952,0.8326669896906302
22,22,hHBB_10383653_GC_rich_2_hHBB,PSU,1.0,3,4,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01251173  0.00919876  0.00057788 ...  0.1889534   0.1889534
  0.1889534 ]","[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 395],[ 6.36647294 10.86647579],[110 395],[ 6.36647294 10.86647579],[ 25.       862.224335],[102.13575206 226.928438  ],[ 8.26284172 75.762379  ],[ 93.87291034 151.166059  ],535.2330271699998,0.2824303645820924,0.5764527235814088
23,23,hHBB_10383653_GC_rich_2_hHBB,PSU,1.5,3,5,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.0021024  -0.00422323  0.00096512 ...  0.1294861   0.1294861
  0.1294861 ]","[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 395],[ 6.4428958 11.9926057],[110 395],[ 6.4428958 11.9926057],[ 25.       862.224335],[ 99.28200388 179.006637  ],[ 7.58779476 69.53232   ],[ 91.69420912 109.474317  ],527.42681305,0.20756304816384424,0.42364525714489554
24,24,hHBB_10383653_GC_rich_2_hHBB,PSU,2.0,3,6,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0425653  0.02512991 0.00521469 ... 0.1378632  0.1378632  0.1378632 ],"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 395],[ 6.45425921 12.97089237],[110 395],[ 6.45425921 12.97089237],[ 25.       862.224335],[ 95.76592961 179.871719  ],[ 5.89016477 76.423165  ],[ 89.87576484 103.448554  ],595.8451262499999,0.17361651449775542,0.3543588975959845
25,25,hHBB_10383653_GC_rich_2_hHBB,PSU,3.0,3,7,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0117777  0.01672641 0.02369343 ... 0.180912   0.180912   0.180912  ],"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 397],[ 6.42553614 15.9462305 ],[110 397],[ 6.42553614 15.9462305 ],[ 25.        875.1286992],[ 87.94439984 122.797968  ],[ 6.85396068 59.638656  ],[81.09043916 63.159312  ],523.1019864149999,0.12073995824954283,0.24643553422820463
26,26,hHBB_10383653_GC_rich_2_hHBB,PSU,4.0,3,8,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00950309 -0.02565244 -0.02207501 ...  0.1070595   0.1070595
  0.1070595 ]","[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 398],[ 6.33223461 23.01096921],[110 398],[ 6.33223461 23.01096921],[ 25.         881.65287034],[ 84.72929141 142.4102924 ],[ 6.53005927 74.3466504 ],[78.19923214 68.063642  ],617.9645961900001,0.11014165280606643,0.22480392939959615
27,27,hHBB_10383653_GC_rich_2_hHBB,PSU,5.0,3,9,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.03104539 0.02796836 0.00727691 ... 0.3865318  0.3865318  0.3865318 ],"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 399],[  6.24610949 144.57380179],[110 398],[ 6.33223461 23.01096921],[ 25.         881.65287034],[ 80.29086644 100.2762306 ],[ 4.73313568 61.8874584 ],[75.55773076 38.3887722 ],518.5516875320001,0.07403075358352004,0.15110000511152583
28,28,hHBB_10383653_GC_rich_2_hHBB,PSU,18.0,3,10,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.04425642  0.01662419 -0.00040796 ...  0.09276581  0.09276581
  0.09276581]","[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 231],[  6.21083642 148.65471149],[110 398],[ 6.33223461 23.01096921],[ 25.         881.65287034],[79.97879947 10.0198382 ],[ 4.67530469 11.8633728 ],[75.30349478 -1.8435346 ],336.86911955900007,-0.005472554452047715,-0.01116972292798043
29,29,hHBB_10383653_GC_rich_2_hHBB,PSU,24.0,3,11,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.00858039  0.0049723  -0.00314864 ...  0.09776688  0.09776688
  0.09776688]","[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[110 197],[  6.21888509 129.38428833],[110 398],[ 6.33223461 23.01096921],[ 25.         881.65287034],[81.10892567  9.473032  ],[4.07723519 9.7878936 ],[77.03169048 -0.3148616 ],322.21872888000007,-0.0009771672835232946,-0.0019944411530082536
30,30,hHBB_10383651_GC_rich_1_hHBB,PSU,0.0,4,2,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.08666748 -0.08041204 -0.05947809 ... -0.07395172 -0.07395172
 -0.07395172]","[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 391],[ 6.73326679 11.74100439],[110 391],[ 6.73326679 11.74100439],[ 25.         838.24889924],[127.21743354 521.323248  ],[ 15.95783728 117.622944  ],[111.25959626 403.700304  ],770.47322594,0.5239640916885512,1.0
31,31,hHBB_10383651_GC_rich_1_hHBB,PSU,0.5,4,3,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.01167557  0.00967483  0.02209619 ... -0.03286743 -0.03286743
 -0.03286743]","[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 390],[ 6.59607631 12.45506022],[110 390],[ 6.59607631 12.45506022],[ 25.         832.08274058],[133.14654554 538.937917  ],[ 12.53379917 138.970546  ],[120.61274637 399.967371  ],929.8253569509003,0.43015321964500947,0.8209593490629817
32,32,hHBB_10383651_GC_rich_1_hHBB,PSU,1.0,4,4,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05991651 -0.06245597 -0.06810379 ...  0.2360115   0.2360115
  0.2360115 ]","[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 392],[ 6.62988778 13.707422  ],[110 392],[ 6.62988778 13.707422  ],[ 25.         844.46006773],[134.3979568 340.0485   ],[ 14.3958108 113.019256 ],[120.002146 227.029244],765.9179559399997,0.2964145731788863,0.5657154333298812
33,33,hHBB_10383651_GC_rich_1_hHBB,PSU,1.5,4,5,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.02916546  0.00811879 -0.00459372 ...  0.1210861   0.1210861
  0.1210861 ]","[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 391],[ 6.84343432 14.60470993],[110 391],[ 6.84343432 14.60470993],[ 25.         838.24889924],[136.0402119 276.096468 ],[ 11.9748923 105.57612  ],[124.0653196 170.520348 ],718.7241118919999,0.23725424704496828,0.4528063102194306
34,34,hHBB_10383651_GC_rich_1_hHBB,PSU,2.0,4,6,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.05826657 0.02867513 0.00621032 ... 0.2253189  0.2253189  0.2253189 ],"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 275 391],[ 6.8604376   3.9394786  15.81125448],[110 391],[ 6.8604376  15.81125448],[ 25.         838.24889924],[141.3090001 283.456944 ],[ 13.0880477 115.410272 ],[128.2209524 168.046672 ],839.1103134369998,0.20026767554754513,0.3822164127739234
35,35,hHBB_10383651_GC_rich_1_hHBB,PSU,3.0,4,7,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.01946373 -0.00386632 -0.01426899 ...  0.04010773  0.04010773
  0.04010773]","[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 394],[ 6.82786321 21.41517828],[110 394],[ 6.82786321 21.41517828],[ 25.        857.0179192],[136.72778104 188.796481  ],[ 13.18019738 104.334802  ],[123.54758366  84.461679  ],691.230320326,0.12219035611772047,0.23320368333628383
36,36,hHBB_10383651_GC_rich_1_hHBB,PSU,4.0,4,8,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.2881128 0.2181198 0.1161594 ... 0.1434822 0.1434822 0.1434822],"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 393 837],[ 6.93067637 86.92290371  4.69440312],[110 394],[ 6.82786321 21.41517828],[ 25.        857.0179192],[139.49996864 176.76037   ],[ 18.12563718 109.6046028 ],[121.37433146  67.1557672 ],820.6511881939998,0.0818322914364983,0.15617919764841467
37,37,hHBB_10383651_GC_rich_1_hHBB,PSU,5.0,4,9,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04438437 0.06389549 0.0804601  ... 0.09358215 0.09358215 0.09358215],"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 362 392],[  6.88130456  13.94118784 131.59022062],[110 394],[ 6.82786321 21.41517828],[ 25.        857.0179192],[148.69095686 167.4671563 ],[ 16.81445962 105.3532106 ],[131.87649724  62.1139457 ],914.43067012,0.06792635869469352,0.12963933935967034
38,38,hHBB_10383651_GC_rich_1_hHBB,PSU,18.0,4,10,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03280863 -0.01007706  0.00940736 ...  0.2222252   0.2222252
  0.2222252 ]","[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 209],[  7.04189491 132.00854381],[110 394],[ 6.82786321 21.41517828],[ 25.        857.0179192],[147.7664921  18.8873931],[13.8852147 22.3401024],[133.8812774  -3.4527093],614.9099445866512,-0.005614983674269477,-0.01071635206178799
39,39,hHBB_10383651_GC_rich_1_hHBB,PSU,24.0,4,11,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.07559215 0.08898867 0.0795567  ... 0.2788582  0.2788582  0.2788582 ],"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[110 197],[  7.09116286 100.48810719],[110 394],[ 6.82786321 21.41517828],[ 25.        857.0179192],[146.33283083  12.6424519 ],[20.87450981 11.8309488 ],[125.45832102   0.8115031 ],574.4412371,0.0014126825297166728,0.0026961437856630518
40,40,hHBB_10388774_Twist_1_hHBB,PSU,0.0,5,2,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.0093172   0.00114537  0.0013656  ...  0.1240768   0.1240768
  0.1240768 ]","[  -67.18592988   -66.1966543    -65.21444722 ... 17738.30969352
 17789.33633578 17840.4596487 ]",[110 392],[6.31404061 7.61230568],[110 392],[6.31404061 7.61230568],[ 23.44625476 875.9381187 ],[109.01172968 250.6535054 ],[ 8.87909246 71.351056  ],[100.13263722 179.3024494 ],475.1621273799997,0.3773500434234042,1.0
41,41,hHBB_10388774_Twist_1_hHBB,PSU,0.5,5,3,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00381416 -0.00450211 -0.00400162 ...  0.01271439  0.01271439
  0.01271439]","[  -67.18592988   -66.1966543    -65.21444722 ... 17738.30969352
 17789.33633578 17840.4596487 ]",[110 391],[6.24231005 8.53329246],[110 391],[6.24231005 8.53329246],[ 23.44625476 869.38566793],[108.23210267 274.744258  ],[ 7.39802329 89.719641  ],[100.83407938 185.024617  ],564.31215075329,0.32787636550624333,0.8688918186723271
