,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,nts,times,fu,peak_index,peak_nts,peak_widths,peak_area,background_area,peak_area_backsub,total_area,total_mRNA,fraction_intact,fraction_norm
17,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,5.0,2,9,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample9.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.01490457 -0.01851416 -0.03791047 ...  0.3525848   0.3525848
  0.3525848 ]","[110, 391]",[ 25.        825.9168766],"[6.549818021049674, 11.022793747152605]",[148.55096799 152.8513407 ],[ 1.17514257 59.79710625],[147.37582542  93.05423445],522.9151685300001,375.53934311000006,0.24778824418069903,0.20741412925093408
18,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,18.0,2,10,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample10.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03119764 -0.02146612 -0.01684161 ...  0.1114845   0.1114845
  0.1114845 ]","[110, 391]",[ 25.        825.9168766],"[6.549818021049674, 11.022793747152605]",[147.8255657  29.8722013],[ 0.50118563 24.26149425],[147.32438008   5.61070705],471.08118479000007,323.7568047137001,0.01733000501707315,0.014506289079272358
19,hHBB_10383601_LinearDesign-beamsize50-USETHISONE_hHBB,PSU,24.0,2,11,nts-Eukaryote Total RNA Nano_2020-12-10_07-47-43_Sample11.csv,"[-1096.39447308 -1079.46163742 -1062.68340027 ...  4757.37487602
  4721.87502106  4686.05150565]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1112913 -0.140372  -0.1486015 ...  0.1564445  0.1564445  0.1564445],"[110, 391]",[ 25.        825.9168766],"[6.549818021049674, 11.022793747152605]",[147.49968736  15.8777954 ],[-0.37672735 14.1488935 ],[147.87641471   1.7289019 ],505.85991793600004,357.9835032275,0.00482955746399654,0.004042639146882573
20,hHBB_10383653_GC_rich_2_hHBB,PSU,0.0,3,2,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample2.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0178762  0.02263015 0.01978012 ... 0.1875801  0.1875801  0.1875801 ],"[110, 392]",[ 25.         843.22618787],"[6.518876688934128, 9.326238804571972]",[108.7005573 497.569595 ],[ 2.5420521 53.0482935],[106.1585052 444.5213015],599.06399375,492.90548855000003,0.9018388145923599,1.0
21,hHBB_10383653_GC_rich_2_hHBB,PSU,0.5,3,3,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample3.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01364136 -0.01658787 -0.0118412  ...  0.07415009  0.07415009
  0.07415009]","[110, 394]",[ 25.         855.84393781],"[6.485736985302836, 10.035505340665338]",[103.16462315 302.593572  ],[ 1.3675516 49.875248 ],[101.79707155 252.718324  ],419.9196309488,318.1225593988,0.794405541303316,0.8808730877949572
22,hHBB_10383653_GC_rich_2_hHBB,PSU,1.0,3,4,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample4.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01251173  0.00919876  0.00057788 ...  0.1889534   0.1889534
  0.1889534 ]","[110, 395]",[ 25.       862.224335],"[6.366472936214834, 10.8664757891475]",[104.42125473 251.165113  ],[ 1.5033042 63.978486 ],[102.91795053 187.186627  ],444.53159024,341.61363971000003,0.5479483405841318,0.6075901055908863
23,hHBB_10383653_GC_rich_2_hHBB,PSU,1.5,3,5,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample5.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.0021024  -0.00422323  0.00096512 ...  0.1294861   0.1294861
  0.1294861 ]","[110, 395]",[ 25.       862.224335],"[6.442895803221234, 11.992605703348431]",[101.91713658 198.6165372 ],[ 3.1980278 64.0718244],[ 98.71910878 134.5447128 ],438.9308840500001,340.2117752700001,0.39547341561949806,0.43851895618204895
24,hHBB_10383653_GC_rich_2_hHBB,PSU,2.0,3,6,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample6.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0425653  0.02512991 0.00521469 ... 0.1378632  0.1378632  0.1378632 ],"[110, 395]",[ 25.       862.224335],"[6.454259205529993, 12.970892371427226]",[ 97.33790452 198.8701175 ],[ 1.5208855  78.36335325],[ 95.81701902 120.50676425],514.4344123000001,418.6173932800001,0.28786850757870147,0.3192017275379979
25,hHBB_10383653_GC_rich_2_hHBB,PSU,3.0,3,7,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample7.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0117777  0.01672641 0.02369343 ... 0.180912   0.180912   0.180912  ],"[110, 397]",[ 25.        875.1286992],"[6.425536136984505, 15.946230500551962]",[ 89.74221293 134.0613135 ],[ 1.614028  71.0085768],[88.12818493 63.0527367 ],445.01248249500003,356.88429756500005,0.17667557001023856,0.19590592814537228
26,hHBB_10383653_GC_rich_2_hHBB,PSU,4.0,3,8,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample8.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00950309 -0.02565244 -0.02207501 ...  0.1070595   0.1070595
  0.1070595 ]","[110, 397]",[ 25.        875.1286992],"[6.425536136984505, 15.946230500551962]",[ 86.21887941 127.8630177 ],[ 0.3389231 76.9664808],[85.87995631 50.8965369 ],540.00362898,454.12367267,0.11207637910782335,0.12427539965496272
27,hHBB_10383653_GC_rich_2_hHBB,PSU,5.0,3,9,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample9.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.03104539 0.02796836 0.00727691 ... 0.3865318  0.3865318  0.3865318 ],"[110, 397]",[ 25.        875.1286992],"[6.425536136984505, 15.946230500551962]",[81.61833445 89.182473  ],[ 1.3124227 57.19704  ],[80.30591175 31.985433  ],448.102857762,367.796946012,0.08696492275647233,0.09643067181110555
28,hHBB_10383653_GC_rich_2_hHBB,PSU,18.0,3,10,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample10.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.04425642  0.01662419 -0.00040796 ...  0.09276581  0.09276581
  0.09276581]","[110, 397]",[ 25.        875.1286992],"[6.425536136984505, 15.946230500551962]",[81.02000365  8.47546606],[0.29462638 7.74929712],[80.72537727  0.72616894],264.72281491,183.99743764000002,0.00394662528627592,0.004376198077102984
29,hHBB_10383653_GC_rich_2_hHBB,PSU,24.0,3,11,nts-Eukaryote Total RNA Nano_2020-12-10_08-35-37_Sample11.csv,"[-1044.94368619 -1028.73486176 -1012.67526444 ...  4524.8876168
  4488.38350499  4451.55435776]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.00858039  0.0049723  -0.00314864 ...  0.09776688  0.09776688
  0.09776688]","[110, 397]",[ 25.        875.1286992],"[6.425536136984505, 15.946230500551962]",[82.06818807  9.210172  ],[1.1579879 7.5977592],[80.91020017  1.6124128 ],252.46930928999998,171.55910912,0.009398584594375398,0.010421579158381702
30,hHBB_10383651_GC_rich_1_hHBB,PSU,0.0,4,2,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample2.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.08666748 -0.08041204 -0.05947809 ... -0.07395172 -0.07395172
 -0.07395172]","[110, 391]",[ 25.         838.24889924],"[6.733266793850731, 11.741004385239364]",[131.9644519 574.721621 ],[ 0.41355458 56.65995   ],[131.55089732 518.061671  ],650.9941020299999,519.443204705,0.9973403565731797,1.0
31,hHBB_10383651_GC_rich_1_hHBB,PSU,0.5,4,3,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample3.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.01167557  0.00967483  0.02209619 ... -0.03286743 -0.03286743
 -0.03286743]","[110, 390]",[ 25.         832.08274058],"[6.59607630929051, 12.455060219180496]",[136.45328832 586.482013  ],[-1.38048435e-02  1.03086647e+02],[136.46709317 483.395366  ],809.7705820099999,673.3034888425998,0.7179457317694145,0.7198603034938307
32,hHBB_10383651_GC_rich_1_hHBB,PSU,1.0,4,4,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample4.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05991651 -0.06245597 -0.06810379 ...  0.2360115   0.2360115
  0.2360115 ]","[110, 392]",[ 25.         844.46006773],"[6.629887776605742, 13.707421996046435]",[138.28962891 375.878849  ],[ 1.83464673 94.99917   ],[136.45498218 280.879679  ],643.8090416,507.35405942,0.5536166978167035,0.5550930473914719
33,hHBB_10383651_GC_rich_1_hHBB,PSU,1.5,4,5,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample5.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.02916546  0.00811879 -0.00459372 ...  0.1210861   0.1210861
  0.1210861 ]","[110, 391]",[ 25.         838.24889924],"[6.843434317697685, 14.604709926373346]",[138.9913588 302.9885899],[ 3.64356447 96.5241855 ],[135.34779433 206.4644044 ],603.89198414,468.54418981000003,0.4406508689900169,0.4418259685229976
34,hHBB_10383651_GC_rich_1_hHBB,PSU,2.0,4,6,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample6.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.05826657 0.02867513 0.00621032 ... 0.2253189  0.2253189  0.2253189 ],"[110, 391]",[ 25.         838.24889924],"[6.860437600172304, 15.811254478817318]",[144.71201516 306.8303311 ],[  2.10603267 117.2506536 ],[142.60598249 189.5796775 ],717.4548140369999,574.8488315469998,0.329790489422783,0.3306699535912991
35,hHBB_10383651_GC_rich_1_hHBB,PSU,3.0,4,7,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample7.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.01946373 -0.00386632 -0.01426899 ...  0.04010773  0.04010773
  0.04010773]","[110, 391]",[ 25.         838.24889924],"[6.860437600172304, 15.811254478817318]",[140.03812637 183.6066407 ],[ 0.76486863 97.3890936 ],[139.27325774  86.2175471 ],571.42369439,432.1504366505,0.19950817999457,0.2000402156391945
36,hHBB_10383651_GC_rich_1_hHBB,PSU,4.0,4,8,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample8.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.2881128 0.2181198 0.1161594 ... 0.1434822 0.1434822 0.1434822],"[110, 391]",[ 25.         838.24889924],"[6.860437600172304, 15.811254478817318]",[144.38048849 169.8637296 ],[  1.19226996 103.9135872 ],[143.18821853  65.9501424 ],692.5595185500001,549.3713000200001,0.12004657396117897,0.12036670648087885
37,hHBB_10383651_GC_rich_1_hHBB,PSU,5.0,4,9,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample9.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04438437 0.06389549 0.0804601  ... 0.09358215 0.09358215 0.09358215],"[110, 391]",[ 25.         838.24889924],"[6.860437600172304, 15.811254478817318]",[153.32833645 160.4620506 ],[  1.4654682 100.5427728],[151.86286825  59.9192778 ],781.35793855,629.4950703,0.09518625423300635,0.09544009084327279
38,hHBB_10383651_GC_rich_1_hHBB,PSU,18.0,4,10,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample10.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03280863 -0.01007706  0.00940736 ...  0.2222252   0.2222252
  0.2222252 ]","[110, 391]",[ 25.         838.24889924],"[6.860437600172304, 15.811254478817318]",[150.50627445  18.5961718 ],[ 4.26428719 22.562796  ],[146.24198725  -3.9666242 ],492.93939079999996,346.697403549349,-0.011441170771373797,-0.011471681353279625
39,hHBB_10383651_GC_rich_1_hHBB,PSU,24.0,4,11,nts-Eukaryote Total RNA Nano_2020-12-10_08-43-35_Sample11.csv,"[-854.67804433 -841.50484696 -828.45106882 ... 8389.8198014  8377.47647057
 8364.91846512]",[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.07559215 0.08898867 0.0795567  ... 0.2788582  0.2788582  0.2788582 ],"[110, 391]",[ 25.         838.24889924],"[6.860437600172304, 15.811254478817318]",[152.59313813  12.4097319 ],[ 2.68511596 12.4388352 ],[ 1.49908022e+02 -2.91033000e-02],437.4399114,287.5318892350001,-0.00010121764259759379,-0.00010148756332830393
40,hHBB_10388774_Twist_1_hHBB,PSU,0.0,5,2,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample2.csv,"[  -67.18592988   -66.1966543    -65.21444722 ... 17738.30969352
 17789.33633578 17840.4596487 ]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.0093172   0.00114537  0.0013656  ...  0.1240768   0.1240768
  0.1240768 ]","[110, 392]",[ 23.44625476 875.9381187 ],"[6.314040605317885, 7.612305682229589]",[111.4968932 288.6175744],[ 1.1442605 40.70376  ],[110.3526327 247.9138144],359.96236684999997,249.60973414999998,0.9932057146898732,1.0
41,hHBB_10388774_Twist_1_hHBB,PSU,0.5,5,3,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample3.csv,"[  -67.18592988   -66.1966543    -65.21444722 ... 17738.30969352
 17789.33633578 17840.4596487 ]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00381416 -0.00450211 -0.00400162 ...  0.01271439  0.01271439
  0.01271439]","[110, 391]",[ 23.44625476 869.38566793],"[6.242310050454421, 8.53329246269169]",[110.35606599 312.761384  ],[-0.4294854 58.020489 ],[110.78555139 254.740895  ],455.10235765699997,344.31680626699995,0.7398444989131945,0.7449056000893125
42,hHBB_10388774_Twist_1_hHBB,PSU,1.0,5,4,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample4.csv,"[  -67.18592988   -66.1966543    -65.21444722 ... 17738.30969352
 17789.33633578 17840.4596487 ]",[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03149343 -0.04958569 -0.03072922 ... -0.1046448  -0.1046448
 -0.1046448 ]","[110, 393]",[ 23.44625476 882.52549351],"[6.366116428633887, 9.064898313187996]",[113.50225285 211.946795  ],[-2.0162929 53.7542985],[115.51854575 158.1924965 ],355.78267741900004,240.26413166900005,0.6584107889975601,0.6629148214306719
