,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,peak_area,peak_background_area,lane_background_area
40,hHBB_10388774_Twist_1_hHBB,PSU,0.0,5,2,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample2.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,98.95952713572888,1924.9030125677261,339.26088427769247,2152.4052521643343
41,hHBB_10388774_Twist_1_hHBB,PSU,0.5,5,3,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample3.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,97.53590779736356,2095.7289855712734,445.3435502201149,2645.136909716754
42,hHBB_10388774_Twist_1_hHBB,PSU,1.0,5,4,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample4.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,99.65738262053112,1425.0275159747964,424.7599735488472,2007.723363937637
43,hHBB_10388774_Twist_1_hHBB,PSU,1.5,5,5,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample5.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,106.9313388054282,1083.2980839086272,458.8996741812377,1927.6052595181068
44,hHBB_10388774_Twist_1_hHBB,PSU,2.0,5,6,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample6.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,103.30833819854645,1105.880616705347,527.5872063221423,2141.1452560143007
45,hHBB_10388774_Twist_1_hHBB,PSU,3.0,5,7,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample7.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,93.95521771663509,600.7784301076858,391.97434059411347,1498.7464923533298
46,hHBB_10388774_Twist_1_hHBB,PSU,4.0,5,8,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample8.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,90.10182461571198,668.1634994528208,460.03656663920447,2005.971902656419
47,hHBB_10388774_Twist_1_hHBB,PSU,5.0,5,9,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample9.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,93.47198862697007,410.1485667996256,341.8405031225615,1509.1633408066937
48,hHBB_10388774_Twist_1_hHBB,PSU,18.0,5,10,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample10.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,92.23289718046894,69.13776524629918,67.70086355273028,635.7218480845936
49,hHBB_10388774_Twist_1_hHBB,PSU,24.0,5,11,nts-Eukaryote Total RNA Nano_2020-12-10_11-51-15_Sample11.csv,[ 23.44625476 875.9381187 ],775.9381187008693,975.9381187008693,92.14971164901496,43.77568618587523,41.06130964047299,510.4759944461962
50,hHBB_10388767_Genewiz_1_hHBB,PSU,0.0,6,2,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample2.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,130.25096305567806,3016.254920588365,392.8196820988886,3155.9807690161074
51,hHBB_10388767_Genewiz_1_hHBB,PSU,0.5,6,3,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample3.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,135.63834393842268,2963.0246142708347,559.7211152033575,3524.450192319161
52,hHBB_10388767_Genewiz_1_hHBB,PSU,1.0,6,4,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample4.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,136.32389041898173,2110.086823886298,606.9240325850574,2815.287870904945
53,hHBB_10388767_Genewiz_1_hHBB,PSU,1.5,6,5,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample5.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,142.15454946134656,1696.2619179913781,632.5413706219827,2585.4920714952277
54,hHBB_10388767_Genewiz_1_hHBB,PSU,2.0,6,6,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample6.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,141.41848722442637,1542.6560640636162,645.3150028827538,2628.6270300302517
55,hHBB_10388767_Genewiz_1_hHBB,PSU,3.0,6,7,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample7.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,136.55633698543014,1051.1459924245373,578.3109505032103,2311.468782838067
56,hHBB_10388767_Genewiz_1_hHBB,PSU,4.0,6,8,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample8.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,139.07944532964552,665.1493942848336,447.55255565115533,1729.8527221972954
57,hHBB_10388767_Genewiz_1_hHBB,PSU,5.0,6,9,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample9.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,138.02103295967154,420.81538251879886,334.05725737273076,1269.7269656172723
58,hHBB_10388767_Genewiz_1_hHBB,PSU,18.0,6,10,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample10.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,133.74497742939772,71.27225771609542,76.32830571936354,1000.5870257707381
59,hHBB_10388767_Genewiz_1_hHBB,PSU,24.0,6,11,nts-Eukaryote Total RNA Nano_2020-12-10_11-57-22_Sample11.csv,[ 23.41923142 869.45327336],769.4532733591345,969.4532733591345,130.72646120072616,32.77606038399234,27.044538083778026,647.8127164056914
60,hHBB_10388753_IDT_1_hHBB,PSU,0.0,7,2,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample2.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,130.533339346944,2119.745972962949,505.66065786693514,2270.8874551946274
61,hHBB_10388753_IDT_1_hHBB,PSU,0.5,7,3,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample3.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,135.351092895756,2059.7200938811966,606.2118305087733,2591.4470358373724
62,hHBB_10388753_IDT_1_hHBB,PSU,1.0,7,4,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample4.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,136.42349015787389,1410.9410551703047,669.0073599085114,2067.7260108406667
63,hHBB_10388753_IDT_1_hHBB,PSU,1.5,7,5,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample5.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,145.74882015244165,1464.4604558843096,664.109607141592,2548.771910226219
64,hHBB_10388753_IDT_1_hHBB,PSU,2.0,7,6,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample6.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,148.6127232235839,1088.4973602337066,606.3169453891034,2115.52238826195
65,hHBB_10388753_IDT_1_hHBB,PSU,3.0,7,7,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample7.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,135.60725361015173,748.3855321076585,496.973443587532,1862.5894419527162
66,hHBB_10388753_IDT_1_hHBB,PSU,4.0,7,8,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample8.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,139.09967806444382,726.0962086259022,463.9198191942359,2074.995426287581
67,hHBB_10388753_IDT_1_hHBB,PSU,5.0,7,9,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample9.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,137.24275603895552,620.3360454539406,494.879655280768,1912.6685675875597
68,hHBB_10388753_IDT_1_hHBB,PSU,18.0,7,10,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample10.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,133.98433851662932,47.730353622357605,61.36640750865317,810.9721261984399
69,hHBB_10388753_IDT_1_hHBB,PSU,24.0,7,11,nts-Eukaryote Total RNA Nano_2020-12-10_12-26-54_Sample11.csv,[ 23.15240867 884.42086714],784.4208671400293,984.4208671400293,141.1877031520071,61.98258076122911,54.796307028506234,742.1999426673403
70,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0.0,8,2,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample2.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,133.04941977041315,3254.6459073255496,435.75862118908685,3585.399698511854
71,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,0.5,8,3,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample3.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,135.1840691552781,2697.860786657205,569.0289719306264,3451.6410407403337
72,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,1.0,8,4,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample4.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,138.56777182653857,1773.4131306092456,511.80221495324906,2643.7836390125535
73,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,1.5,8,5,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample5.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,144.52550768972498,1295.9329358284256,497.04249348201745,2328.8072526867168
74,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,2.0,8,6,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample6.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,153.1974889116346,1081.5566729362947,484.0418899155476,2166.149192558784
75,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,3.0,8,7,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample7.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,139.0284967602662,953.0787133661229,459.5111961759126,2433.4944822153666
76,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,4.0,8,8,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample8.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,138.79031134452154,614.8966959922269,381.1514748438721,2038.385912059217
77,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,5.0,8,9,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample9.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,142.77103737274246,620.264959194864,377.83769596889056,2304.7867039451025
78,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,18.0,8,10,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample10.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,143.28861751020696,82.19520695621114,82.05861824492955,1080.5167514963655
79,hHBB_10405622_Eli_Fisker_s_Yellowstone_hHBB,PSU,24.0,8,11,nts-Eukaryote Total RNA Nano_2020-12-10_12-35-05_Sample11.csv,[ 23.31495775 838.72005692],738.7200569229635,938.7200569229635,140.0823531076733,35.31980112611014,33.43993372968029,602.8289368891753
80,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0.0,9,2,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample2.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,90.67871551992353,2474.7398662027736,247.01022646449195,2620.993338657152
81,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,0.5,9,3,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample3.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,93.8961480224293,2425.9052479512975,344.8188692060165,2836.5433870966563
82,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,1.0,9,4,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample4.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,98.5566714215474,2321.001442907695,392.5485537283118,2817.042198495197
83,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,1.5,9,5,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample5.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,97.72361573201513,1801.6172875340442,386.30963329400817,2370.340120534612
84,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,2.0,9,6,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample6.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,103.62891923491098,1806.4897783218664,423.653838640902,2492.0542026131156
85,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,3.0,9,7,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample7.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,88.57888630007369,1462.2901147420127,398.2957496827596,2256.0283940008894
86,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,4.0,9,8,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample8.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,91.58490831311848,1671.688812528413,579.0767590872432,2661.0589598899996
87,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,5.0,9,9,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample9.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,93.75779459814252,1177.6179931791999,457.9023117896545,2268.485460517292
88,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,18.0,9,10,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample10.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,90.8236845078259,330.51376767233023,255.35478629190237,1339.9600425298481
89,hHBB_10415148_AB_Rhiju_Mod_3_hHBB,PSU,24.0,9,11,nts-Eukaryote Total RNA Nano_2020-12-10_13-15-38_Sample11.csv,[ 23.33927898 858.11642096],758.1164209631751,958.1164209631751,89.85092776783313,290.84251251995374,251.05975509164043,1477.1144938058105
90,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0.0,10,2,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample2.csv,[ 23.31260034 856.43995302],756.439953016888,956.439953016888,145.50586120657192,1947.0867139490974,276.68357897589425,2060.9965798289422
91,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,0.5,10,3,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample3.csv,[ 23.31260034 856.43995302],756.439953016888,956.439953016888,149.03768927255754,2390.363004711668,412.10843171463944,2759.1947553084315
92,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,1.0,10,4,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample4.csv,[ 23.31260034 856.43995302],756.439953016888,956.439953016888,150.36187026699866,1915.3275185087653,422.83696918484037,2392.810259714047
93,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,1.5,10,5,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample5.csv,[ 23.31260034 856.43995302],756.439953016888,956.439953016888,151.52436029855136,1704.5089402607357,420.47140582805037,2247.872386405987
94,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,2.0,10,6,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample6.csv,[ 23.31260034 856.43995302],756.439953016888,956.439953016888,156.61637928266717,1631.9645915181338,415.30568266699834,2241.0971695312032
95,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,3.0,10,7,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample7.csv,[ 23.31260034 856.43995302],756.439953016888,956.439953016888,151.16529523486915,1271.091694311989,398.050414365982,1934.426804269486
96,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,4.0,10,8,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample8.csv,[ 23.31260034 856.43995302],756.439953016888,956.439953016888,150.6898842239181,1657.9844594153237,535.0236091957073,2670.4806439528775
97,hHBB_10417205_Jill's_mod_of_Clotho_2.0_hHBB,PSU,5.0,10,9,nts-Eukaryote Total RNA Nano_2020-12-10_13-20-33_Sample9.csv,[ 23.31260034 856.43995302],756.439953016888,956.439953016888,152.49817160605076,949.7462080238039,379.12317801548056,1714.2568964537647
