,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
10,10,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,0.0,2,2,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01434326 -0.01434326 -0.01434326 ... -0.0018161  -0.02713136
 -0.05738183]","[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 245 418 556],[ 6.83478676 10.70158501  7.43455564 12.90948291],[110 245 418],[ 6.83478676 10.70158501  7.43455564],[ 23.20599718 238.35229809 979.57415325],[130.28804174  76.7428506  124.3080426 ],[20.28125918 20.379414   44.051988  ],[110.00678256  56.3634366   80.2560546 ],392.8067096130998,1.4239027894903058,1.0
11,11,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,0.5,2,3,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1619759  -0.1619759  -0.1619759  ... -0.05873422 -0.06580245
 -0.05456736]","[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 244 418 556],[ 6.86702201 10.84245364  8.10831575 13.05808413],[110 244 418],[ 6.86702201 10.84245364  8.10831575],[ 23.20599718 235.75424921 979.57415325],[125.4783817  71.4577591 108.299927 ],[16.7699497 17.9074962 41.95674  ],[108.708432   53.5502629  66.343187 ],328.8008065800001,1.2388956357485967,0.8700703762172322
12,12,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,1.0,2,4,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02438736 -0.02438736 -0.02438736 ... -0.00184284 -0.00237893
 -0.01128408]","[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 245 418 559],[ 6.98619254 10.86143895  8.79729455 12.89241473],[110 245 418],[ 6.98619254 10.86143895  8.79729455],[ 23.20599718 238.35229809 979.57415325],[128.6929248  72.3891311 101.049584 ],[20.8691175 18.5009275 45.037773 ],[107.8238073  53.8882036  56.011811 ],367.39192232800025,1.0394076487641537,0.7299709337153667
13,13,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,1.5,2,5,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.1074905  0.1074905  0.1074905  ... 0.1060589  0.1008851  0.08806323],"[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 245 418 557],[ 6.92095013 10.77870042  9.30237471 15.48833071],[110 245 418],[ 6.92095013 10.77870042  9.30237471],[ 23.20599718 238.35229809 979.57415325],[130.55635063  75.236152   107.478503  ],[23.06910151 20.1690368  52.10174   ],[107.48724912  55.0671152   55.376763  ],392.1003115689996,1.0056230982660954,0.7062442083044616
14,14,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,2.0,2,6,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.0461998 -0.0461998 -0.0461998 ...  0.1567918  0.1458126  0.1387533],"[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 245 418],[ 7.07507742 11.13778942  9.98622461],[110 245 418],[ 7.07507742 11.13778942  9.98622461],[ 23.20599718 238.35229809 979.57415325],[135.72585994  72.3875566   94.882654  ],[20.04660736 21.0137184  50.31402   ],[115.67925258  51.3738382   44.568634  ],402.78717925999973,0.8675356088149943,0.6092660364304319
15,15,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,3.0,2,7,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.09452057 -0.09452057 -0.09452057 ...  0.1158014   0.0950533
  0.08869769]","[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 244 416],[ 6.98073802 10.86005017 10.59844233],[110 244 416],[ 6.98073802 10.86005017 10.59844233],[ 23.20599718 235.75424921 967.33566985],[128.3845318  89.2999351 109.667916 ],[19.4414325 23.858758  61.897638 ],[108.9430993  65.4411771  47.770278 ],432.9907243902998,0.7299727803948681,0.5126563314453272
16,16,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,4.0,2,8,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00827789 -0.00827789 -0.00827789 ...  0.268952    0.2680103
  0.256036  ]","[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 244 416],[ 6.97498292 10.68919886 12.19601358],[110 244 416],[ 6.97498292 10.68919886 12.19601358],[ 23.20599718 235.75424921 967.33566985],[126.25306969  87.7297335  113.252943  ],[23.03497133 27.4223818  73.240856  ],[103.21809836  60.3073517   40.012087  ],485.32687139999973,0.6634694754802172,0.465951384025106
17,17,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,5.0,2,9,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04530716 -0.04530716 -0.04530716 ...  0.09064391  0.1284931
  0.1538801 ]","[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 244 415],[ 6.94357911 11.18353986 12.57229996],[110 244 415],[ 6.94357911 11.18353986 12.57229996],[ 23.20599718 235.75424921 961.25137645],[129.04891178 106.4492266  126.245915  ],[23.20930136 30.9813432  84.36558   ],[105.83961042  75.4678834   41.880335  ],542.1020965000002,0.5549424882903236,0.3897334090404924
18,18,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,18.0,2,10,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.06068039 0.06068039 0.06068039 ... 0.08493008 0.08196215 0.08066889],"[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 244 375],[ 7.00217375 11.42044329 56.87929618],[110 244 415],[ 6.94357911 11.18353986 12.57229996],[ 23.20599718 235.75424921 961.25137645],[127.78501785  75.5122533   37.717165  ],[21.02983295 21.3430044  32.8707197 ],[106.7551849  54.1692489   4.8464453],407.8346609400002,0.08946857116196814,0.06283334215111266
19,19,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_jiabei618_LinearDesign-1,Unmodified,24.0,2,11,nts-Eukaryote Total RNA Nano_2020-10-08_10-55-37_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.1180992  0.1180992  0.1180992  ... 0.09453754 0.0984485  0.09520251],"[-6.92430960e+00 -6.98440971e+00 -7.04062650e+00 ...  1.03141018e+04
  1.03372520e+04  1.03604262e+04]",[110 244 374],[ 7.00155669 10.98600259 43.52033463],[110 244 415],[ 6.94357911 11.18353986 12.57229996],[ 23.20599718 235.75424921 961.25137645],[124.9644787 103.0918623  36.6405246],[21.6872621 28.08024   37.2506979],[103.2772166  75.0116223  -0.6101733],523.5026723699998,-0.008134383463400974,-0.005712737922448149
20,20,hHBB_Nluc_hHBB,Unmodified,0.0,3,3,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1985379 -0.2058638 -0.2128133 ... -0.2609482 -0.2609482 -0.2609482],"[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[110 245 401],[ 7.13727229 11.06564634 26.94205417],[110 245 401],[ 7.13727229 11.06564634 26.94205417],[ 23.23291389 238.4094041  874.17635955],[183.02726237  93.5520656  385.218175  ],[ 22.9070544  27.1885632 120.96999  ],[160.12020797  66.3635024  264.248185  ],783.7440868689997,3.9818300035954697,1.0
21,21,hHBB_Nluc_hHBB,Unmodified,0.5,3,4,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.5799282 -0.5606402 -0.5473301 ... -0.4721451 -0.4721451 -0.4721451],"[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[ 42 110 245 400],[ 5.70121296  7.10096303 11.11458011 28.27203516],[110 245 400],[ 7.10096303 11.11458011 28.27203516],[ 23.23291389 238.4094041  868.53052699],[172.0425963  87.2531264 274.778258 ],[ 17.5794576  21.0569304 106.163142 ],[154.4631387  66.196196  168.615116 ],579.2556388900001,2.5472025008808648,0.639706491382309
22,22,hHBB_Nluc_hHBB,Unmodified,1.0,3,5,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.03115272  0.03291558  0.03240885 ... -0.08842468 -0.08842468
 -0.08842468]","[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[110 245 400],[ 7.07643997 12.05200745 25.56871059],[110 245 400],[ 7.07643997 12.05200745 25.56871059],[ 23.23291389 238.4094041  868.53052699],[183.73917695  94.5289568  205.697902  ],[ 25.473072   33.5222953 100.32347  ],[158.26610495  61.0066615  105.374432  ],712.3086085052007,1.727261079513423,0.43378574121792224
23,23,hHBB_Nluc_hHBB,Unmodified,1.5,3,6,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.01531688 0.03580117 0.04727539 ... 0.05342484 0.05342484 0.05342484],"[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[110 245 400],[ 7.18217285 12.49520779 24.16853577],[110 245 400],[ 7.18217285 12.49520779 24.16853577],[ 23.23291389 238.4094041  868.53052699],[186.43528179 107.4153433  179.190431  ],[26.24868872 40.1443484  97.6088    ],[160.18659307  67.2709949   81.581631  ],752.4351811928994,1.212731149900089,0.3045662795260044
24,24,hHBB_Nluc_hHBB,Unmodified,2.0,3,7,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.2155762 0.2155762 0.2155762 ... 0.2615747 0.2545052 0.2398639],"[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[110 245 399],[ 7.19177249 11.95675355 25.56474731],[110 245 399],[ 7.19177249 11.95675355 25.56474731],[ 23.23291389 238.4094041  862.90682006],[179.58534414  91.4567115  115.9934055 ],[28.2047824 33.430098  73.2036786],[151.38056174  58.0266135   42.7897269 ],624.3225379426997,0.737415546402686,0.18519513533647156
25,25,hHBB_Nluc_hHBB,Unmodified,3.0,3,8,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.03914642 0.03914642 0.03914642 ... 0.31496    0.3183895  0.3074443 ],"[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[110 245 398],[ 7.12263696 12.76861645 19.89793524],[110 245 398],[ 7.12263696 12.76861645 19.89793524],[ 23.23291389 238.4094041  857.30520085],[181.88477181 123.50509     91.928806  ],[26.6109432 49.768238  67.03114  ],[155.27382861  73.736852    24.897666  ],743.0568161306999,0.33765566775212974,0.08479911685010086
26,26,hHBB_Nluc_hHBB,Unmodified,4.0,3,9,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02930832 -0.02930832 -0.02930832 ...  0.3377478   0.327997
  0.3036201 ]","[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[110 243],[ 7.21248524 13.08063757],[110 245 398],[ 7.12263696 12.76861645 19.89793524],[ 23.23291389 238.4094041  857.30520085],[184.27794409 124.170943    70.786853  ],[18.0047216 54.335203  61.1202   ],[166.27322249  69.83574      9.666653  ],711.8289093830001,0.1384198549338779,0.03476287405762904
27,27,hHBB_Nluc_hHBB,Unmodified,5.0,3,10,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04475021 0.04475021 0.04475021 ... 0.2426506  0.2377506  0.2364413 ],"[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[110 243],[ 7.19919758 13.21137848],[110 245 398],[ 7.12263696 12.76861645 19.89793524],[ 23.23291389 238.4094041  857.30520085],[185.89027619 122.263192    44.1822188 ],[23.02052776 54.765243   36.926072  ],[162.86974843  67.497949     7.2561468 ],675.1787289219999,0.10750173757131513,0.026998073115689112
28,28,hHBB_Nluc_hHBB,Unmodified,18.0,3,11,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.03125   -0.03125   -0.03125   ...  0.3240005  0.3098519  0.3079152],"[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[110 244],[ 7.18501577 13.45146389],[110 245 398],[ 7.12263696 12.76861645 19.89793524],[ 23.23291389 238.4094041  857.30520085],[185.20560458 169.552377    10.0331286 ],[26.68553984 79.847001   11.293724  ],[158.52006474  89.705376    -1.2605954 ],713.4672495222999,-0.014052618206516428,-0.003529185875295366
29,29,hHBB_Nluc_hHBB,Unmodified,24.0,3,12,nts-Eukaryote Total RNA Nano_2020-10-12_16-05-51_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.08898544 -0.08898544 -0.08898544 ...  0.01487707  0.0180226
  0.02006633]","[   25.65740931    25.02559781    24.40418186 ... 11471.33245914
 11501.74325464 11532.21040614]",[110 243],[ 7.19475327 13.19397984],[110 245 398],[ 7.12263696 12.76861645 19.89793524],[ 23.23291389 238.4094041  857.30520085],[187.1016371  164.624047     6.54197626],[23.0358912 78.843479   7.279112 ],[164.0657459   85.780568    -0.73713574],710.8732624160995,-0.008593271846835992,-0.0021581212254356747
30,30,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_GC-rich_2,Unmodified,0.0,4,2,nts-Eukaryote Total RNA Nano_2020-10-12_17-13-16_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.0008802 0.0172293 0.0383606 ... 0.2291794 0.2291794 0.2291794],"[-7.39534208e+00 -7.49746881e+00 -7.59411077e+00 ...  1.29868042e+04
  1.30230502e+04  1.30593670e+04]",[110 247 411],[ 6.95472384 10.69860768 14.25522977],[110 247 411],[ 6.95472384 10.69860768 14.25522977],[ 23.21910452 240.55101225 925.11121335],[145.3852105  40.9993079 178.0458703],[23.6325362 11.3169584 60.1280175],[121.7526743  29.6823495 117.9178528],446.81592230000007,3.9726589972266164,1.0
31,31,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_GC-rich_2,Unmodified,0.5,4,3,nts-Eukaryote Total RNA Nano_2020-10-12_17-13-16_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05550295 -0.07849962 -0.09338975 ...  0.1475601   0.1475601
  0.1475601 ]","[-7.39534208e+00 -7.49746881e+00 -7.59411077e+00 ...  1.29868042e+04
  1.30230502e+04  1.30593670e+04]",[110 246 410],[ 6.9693259  10.70134631 14.88347956],[110 246 410],[ 6.9693259  10.70134631 14.88347956],[ 23.21910452 237.98501421 919.10898187],[146.80271451  36.1711195  145.5604636 ],[16.36408697  9.1966105  53.1819825 ],[130.43862754  26.974509    92.3784811 ],402.3387006089999,3.4246584840524807,0.8620569966975005
32,32,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_GC-rich_2,Unmodified,1.0,4,4,nts-Eukaryote Total RNA Nano_2020-10-12_17-13-16_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.2493767  0.1475179  0.03418163 ... 0.02215576 0.02215576 0.02215576],"[-7.39534208e+00 -7.49746881e+00 -7.59411077e+00 ...  1.29868042e+04
  1.30230502e+04  1.30593670e+04]",[110 246 411],[ 6.98504365 11.39723784 17.37661916],[110 246 411],[ 6.98504365 11.39723784 17.37661916],[ 23.21910452 237.98501421 925.11121335],[147.1071656  43.3450016 118.5030781],[20.8043577 14.2091304 48.41424  ],[126.3028079  29.1358712  70.0888381],404.7272557499998,2.405585802424882,0.6055354371226587
33,33,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_GC-rich_2,Unmodified,1.5,4,5,nts-Eukaryote Total RNA Nano_2020-10-12_17-13-16_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.06588792 -0.08894661 -0.1042542  ...  0.02540588  0.02540588
  0.02540588]","[-7.39534208e+00 -7.49746881e+00 -7.59411077e+00 ...  1.29868042e+04
  1.30230502e+04  1.30593670e+04]",[110 247 411],[ 7.09115478 11.20256179 17.79211213],[110 247 411],[ 7.09115478 11.20256179 17.79211213],[ 23.21910452 240.55101225 925.11121335],[153.93020802  62.7129112  149.170854  ],[17.14458903 23.4720744  67.082472  ],[136.78561899  39.2408368   82.088382  ],510.13836987999997,2.0919121174296667,0.5265773173308023
34,34,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_GC-rich_2,Unmodified,2.0,4,6,nts-Eukaryote Total RNA Nano_2020-10-12_17-13-16_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01254202 -0.02432679 -0.05328369 ...  0.3218994   0.3218994
  0.3218994 ]","[-7.39534208e+00 -7.49746881e+00 -7.59411077e+00 ...  1.29868042e+04
  1.30230502e+04  1.30593670e+04]",[110 245 409],[ 7.07949994 11.19014292 17.2193591 ],[110 245 409],[ 7.07949994 11.19014292 17.2193591 ],[ 23.21910452 235.43562799 913.13217215],[154.64740022  61.6185129  130.586012  ],[14.15697216 22.15272    61.569864  ],[140.49042806  39.4657929   69.016148  ],525.5461330190001,1.7487586826109358,0.4401985380149102
35,35,Eterna_hHBB+3XHANluc+JEV+hHBB+F30Pepper_GC-rich_2,Unmodified,3.0,4,7,nts-Eukaryote Total RNA Nano_2020-10-12_17-13-16_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.025791   -0.00825963 -0.00865646 ...  0.1813126   0.1813126
  0.1813126 ]","[-7.39534208e+00 -7.49746881e+00 -7.59411077e+00 ...  1.29868042e+04
  1.30230502e+04  1.30593670e+04]",[110 246 412 994],[ 6.94859261 13.10936362 15.20762807  4.35575488],[110 246 412],[ 6.94859261 13.10936362 15.20762807],[ 23.21910452 237.98501421 931.13892363],[144.19068558  50.4266116   63.19151   ],[24.35367536 22.671908   35.9532192 ],[119.83701022  27.7547036   27.2382908 ],427.9568490620002,0.981393683483617,0.24703698056358356
